zinc_id,smiles,pChEMBL Value,dock_affinity(kcal/mol)
ZINC000051006303,CC(C)N/C(O)=C(\C#N)C(=O)CN(C)c1ncnc2[nH]cnc12,8.287654876708984,-6.6
ZINC000054452140,C[C@@H](Sc1nncs1)C(=O)[C@@H](C#N)c1nc(N)nc(N)n1,8.099430084228516,-6.6
ZINC000051348762,CNC(=O)/C(C#N)=C(\O)Cc1[nH]c(C(C)=O)c(C)c1C(=O)OC,8.178948402404785,-6.6
ZINC000051898219,CCc1nc(C)c(C(=O)[C@H](C#N)c2nc(N)nc(N)n2)s1,7.948913097381592,-6.5
ZINC000059214119,O=C(O)/C=C(\C(=O)O)c1ccc(/C(=C/C(=O)O)C(=O)O)cc1,7.870941162109375,-6.5
ZINC000053278183,N#CCc1c(C#N)c(N)nc(NNC(=O)c2ccco2)c1C#N,8.097285270690918,-6.4
ZINC000030113631,N#Cc1nc(NC(=O)[C@@H]2CCCN(c3cnccn3)C2)[nH]c1C#N,7.7932562828063965,-6.4
ZINC000043719812,C[C@@H](O)CNC(=O)Nc1nc(-c2c[nH]c(C(N)=O)c2)cs1,7.989398002624512,-6.4
ZINC000053854838,Cc1cc(NC(=O)CSc2nc(N)cc(N)c2C#N)n(C)n1,7.813665866851807,-6.4
ZINC000030564110,O=C(Cc1csc(NC(=O)C2CC2)n1)Nn1cnnc1S,7.846565246582031,-6.4
ZINC000049285882,N#C/C(C(=O)c1ccsc1)=C(/O)Cn1ccc(=O)[nH]c1=O,7.861767768859863,-6.4
ZINC000054758439,CCOC(=O)c1c[nH]nc1S(=O)(=O)/N=C(\O)c1ccn[nH]1,7.815261363983154,-6.4
ZINC000010350644,Cc1cc(NC(=O)CSc2ncc(C#N)c(N)n2)n(C)n1,7.915056228637695,-6.4
ZINC000051898218,CCc1nc(C)c(C(=O)[C@@H](C#N)c2nc(N)nc(N)n2)s1,7.948913097381592,-6.3
ZINC000054452138,C[C@H](Sc1nncs1)C(=O)[C@@H](C#N)c1nc(N)nc(N)n1,8.099430084228516,-6.3
ZINC000005816318,N#CCN(CC#N)C(=O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],8.290731430053711,-6.3
ZINC000034263346,N#CCCc1cc(=C(C#N)C#N)c(CCC#N)cc1=C(C#N)C#N,10.19611358642578,-6.2
ZINC000048294626,O=C(Cn1c(S)nnc1-c1cccs1)/N=c1/[nH]cc(O)[nH]1,8.422454833984375,-6.1
ZINC000052394336,C#CCN/C(O)=C(\C#N)C(=O)CCC(=O)Nc1nccs1,7.956017971038818,-6.1
ZINC000063876840,Cc1cc(S(N)(=O)=O)sc1C(=O)/N=c1/sccn1C,7.922773838043213,-6.1
ZINC000053278155,CN(C)c1cc[n+](-c2nc(N)c(C#N)c(CC#N)c2C#N)cc1,8.31544303894043,-6.0
ZINC000060582882,CN(CCC#N)C(=O)CSc1nc(N)c(C#N)cc1C#N,8.649531364440918,-6.0
ZINC000022032010,N#CCCN(CCC#N)C(=O)CSc1ncc(C#N)c(N)n1,9.34377098083496,-6.0
ZINC000055630297,N#CCSCC(=O)N1CCC(C(=O)Nc2cnccn2)CC1,7.785659313201904,-5.9
ZINC000001730312,CNC(=S)NN/C(C)=C\C/C=C(/C)NNC(=S)NC,8.429513931274414,-5.9
ZINC000055365945,C[C@@H](CN(CC(=O)NCC1CC1)C[C@@H](C)OCC#N)OCC#N,7.99897575378418,-5.8
ZINC000052459436,C[C@@H](Sc1nc(N)cc(N)c1C#N)C(=O)N(C)CCC#N,7.929081916809082,-5.7
ZINC000021542731,CCOC(=O)c1cc(C#N)c(SCC(=O)OCC#N)nc1N,9.056665420532228,-5.7
ZINC000052459435,C[C@H](Sc1nc(N)cc(N)c1C#N)C(=O)N(C)CCC#N,7.929081916809082,-5.6
ZINC000055365949,C[C@@H](CN(CC(=O)NCC1CC1)C[C@H](C)OCC#N)OCC#N,7.998975276947021,-5.4
ZINC000046025810,N#CCSCC(=O)OCC(=O)Nc1sccc1C(N)=O,7.854818820953369,-5.3
ZINC000055365947,C[C@H](CN(CC(=O)NCC1CC1)C[C@@H](C)OCC#N)OCC#N,7.99897575378418,-5.0
ZINC000001730275,CNC(=S)NN/C(C)=C\S/C=C(/C)NNC(=S)NC,8.246240615844727,-4.9
ZINC000058681658,N#CCSCC(=O)OCCCOC(=O)CSCC#N,8.866645812988281,-4.5
